name,description,initials,teachers
Rol Médico Experto: Seguridad del Paciente,Rol Médico Experto: Seguridad del Paciente,MPT3047,['Rodrigo Poblete']
Comunicación en Pacientes Con Enfermedades Graves,Comunicación en Pacientes Con Enfermedades Graves,MPT3055,['Carolina Jana;Maria Villouta;Ofelia Leiva']
Problemas Familiares en la Atención en Salud,Problemas Familiares en la Atención en Salud,MPT3056,['Pamela Rojas']
Cirugía Quirúrgica Pediátrica Ia,Cirugía Quirúrgica Pediátrica Ia,MQP3000,['Alejandro Zavala']
Cirugía Quirúrgica Pediátrica Iia,Cirugía Quirúrgica Pediátrica Iia,MQP3002,['Alejandro Zavala']
Cirugía Quirúrgica Pediátrica Iiia,Cirugía Quirúrgica Pediátrica Iiia,MQP3004,['Alejandro Zavala']
Radiologia I a,Radiologia I a,MRA1000,['Florencia De Barbieri']
Radiologia II a,Radiologia II a,MRA1020,['Florencia De Barbieri']
Radiologia III a,Radiologia III a,MRA1040,['Florencia De Barbieri']
Neuroradiología Diagnóstica Ia,Neuroradiología Diagnóstica Ia,MRD3010,['Isidro Huete']
Neuroradiología Diagnóstica Ib,Neuroradiología Diagnóstica Ib,MRD3030,['Isidro Huete']
Radiología Pediátrica Ia,Radiología Pediátrica Ia,MRI3000,['Cristian Garcia']
Radiologia Pediatrica Iia,Radiologia Pediatrica Iia,MRI3020,['Cristian Garcia']
Radio-Oncologia Ia,Radio-Oncologia Ia,MRO1000,['Marisa Bustos']
Radio-Oncologia Iia,Radio-Oncologia Iia,MRO1020,['Marisa Bustos']
Radio-Oncologia Iiia,Radio-Oncologia Iiia,MRO1040,['Marisa Bustos']
Respiratorio Pediatrico I a,Respiratorio Pediatrico I a,MRP1000,['Marie Caussade']
Respiratorio Pediatrico II a,Respiratorio Pediatrico II a,MRP1020,['Marie Caussade']
Bases Epidemiológicas de la Salud Pública Global,Bases Epidemiológicas de la Salud Pública Global,MSG3001,['(Sin Profesores)']
Bioestadística en Salud Pública,Bioestadística en Salud Pública,MSG3002,['Paola Viviani']
Salud Global,Salud Global,MSG3003,['Javiera Leniz']
Ética y Salud Pública,Ética y Salud Pública,MSG3006,['(Sin Profesores)']
Salud Ambiental: Desafíos Locales y Globales,Salud Ambiental: Desafíos Locales y Globales,MSG3007,['(Sin Profesores)']
Ciencias Sociales y del Comportamiento en Salud,Ciencias Sociales y del Comportamiento en Salud,MSG3008,['(Sin Profesores)']
Ciencias de Implementación y Evaluación en Salud,Ciencias de Implementación y Evaluación en Salud,MSG3011,['(Sin Profesores)']
Salud Publica I a,Salud Publica I a,MSP1000,['Paula Margozzini']
Salud Publica II a,Salud Publica II a,MSP1020,['Paula Margozzini']
Salud Publica III a,Salud Publica III a,MSP1040,['Paula Margozzini']
Epidemiologia I,Epidemiologia I,MSP3000,['Jaime Cerda']
Bioestadística I,Bioestadística I,MSP3001,['Luis Villarroel']
Epidemiologia de Campo,Epidemiologia de Campo,MSP3006,['Marisa Torres']
Planificacion y Uso de Ensayos Clinicos Randomizados,Planificacion y Uso de Ensayos Clinicos Randomizados,MSP3008,['Claudio Vera']
Sociedad y Salud,Sociedad y Salud,MSP3027,['Alejandra Vives']
Evaluaciones Económicas en Salud y Evaluación de Tecnologías Sanitarias,Evaluaciones Económicas en Salud y Evaluación de Tecnologías Sanitarias,MSP3029,['Manuel Espinoza']
Seminario de Investigación,Seminario de Investigación,MSP3030,['Alejandra Vives']
Computación Estadística,Computación Estadística,MSP3031,['Paola Viviani']
Epidemiología de las Enfermedades Crónicas No Transmisibles,Epidemiología de las Enfermedades Crónicas No Transmisibles,MSP3035,['Claudia Bambs;Paula Margozzini']
Epidemiología en la Etapa de Adulto Mayor: Escenarios y Desafíos,Epidemiología en la Etapa de Adulto Mayor: Escenarios y Desafíos,MSP3040,['Marisa Torres']
Tesis I,Tesis I,MSP3044,['Claudia Bambs']
Tesis II,Tesis II,MSP3045,['Claudia Bambs']
Revisiones Sistemáticas II,Revisiones Sistemáticas II,MSP3047,['Gabriel Rada']
Anestesiologia I a,Anestesiologia I a,MTA1000,['Mauricio Ibacache;Loreto Mosqueira;Javiera Benavides']
Anestesiologia II a,Anestesiologia II a,MTA1010,['Mauricio Ibacache;Loreto Mosqueira;Javiera Benavides']
Anestesiologia III a,Anestesiologia III a,MTA1020,['Mauricio Ibacache;Loreto Mosqueira;Javiera Benavides']
Cirugia I a,Cirugia I a,MTC1000,['Felipe Bellolio']
Cirugia II a,Cirugia II a,MTC1010,['Felipe Bellolio']
Cirugia III a,Cirugia III a,MTC1020,['Felipe Bellolio']
Obstetricia y Ginecologia Ia,Obstetricia y Ginecologia Ia,MTG1000,['Elisa Orlandini']
Obstetricia y Ginecologia II a,Obstetricia y Ginecologia II a,MTG1010,['Elisa Orlandini']
Obstetricia y Ginecologia III a,Obstetricia y Ginecologia III a,MTG1020,['Elisa Orlandini']
Medicina Interna I a,Medicina Interna I a,MTI1000,['Eduardo Abbott;Jose Pena;Hector Galindo']
Medicina Interna II a,Medicina Interna II a,MTI1010,['Eduardo Abbott;Jose Pena;Hector Galindo']
Medicina Interna III a,Medicina Interna III a,MTI1020,['Eduardo Abbott;Jose Pena;Hector Galindo']
Traumatologia I a,Traumatologia I a,MTO1000,['Felipe Hodgson']
Traumatologia II a,Traumatologia II a,MTO1020,['Felipe Hodgson']
Traumatologia III a,Traumatologia III a,MTO1040,['Felipe Hodgson']
Pediatria I a,Pediatria I a,MTP1000,['Marcela Monge']
Pediatria II a,Pediatria II a,MTP1010,['Marcela Monge']
Pediatria III a,Pediatria III a,MTP1020,['Marcela Monge']
Fundamentos de Formación de Imágenes por Resonancia Magnética,Fundamentos de Formación de Imágenes por Resonancia Magnética,MTP3040,['Sergio Uribe']
Apreciación de Música en Vivo,Apreciación de Música en Vivo,MUC1000,['Sergio Candia;Eduardo Figueroa']
Composición e Interpretación Musical I,Composición e Interpretación Musical I,MUC3012,['(Sin Profesores)']
Taller de Música de Cámara,Taller de Música de Cámara,MUC3015,['Liza Chung']
Música y Ciencia,Música y Ciencia,MUC3021,['Patricio De la Cuadra']
Taller Música de Cámara III,Taller Música de Cámara III,MUC3024,['(Sin Profesores)']
Taller de Técnicas Analíticas,Taller de Técnicas Analíticas,MUC4003,['Cristian Morales']
Coro,Coro,MUC701,['Gerard Ramos']
Práctica Coral para Músicos,Práctica Coral para Músicos,MUC701A,['Gerard Ramos']
Historia de la Música: Edad Media y Renacimiento,Historia de la Música: Edad Media y Renacimiento,MUC704A,['Tomas Koljatic']
Historia de la Música: del Romanticismo a la Música Docta del Siglo XX,Historia de la Música: del Romanticismo a la Música Docta del Siglo XX,MUC706A,['Antonio Carvallo']
Lectura y Auditivo 1,Lectura y Auditivo 1,MUC709A,['Gina Allende']
Lectura y Auditivo 3,Lectura y Auditivo 3,MUC711A,['Gina Allende']
Lectura y Auditivo Avanzado 1,Lectura y Auditivo Avanzado 1,MUC713,['William Child']
Lectura y Auditivo Avanzado 3,Lectura y Auditivo Avanzado 3,MUC715,['William Child']
Teclado Funcional 1,Teclado Funcional 1,MUC717A,['Veronica Sierralta']
Armonía 1,Armonía 1,MUC719,['Cristian Gonzalez']
Armonía 3,Armonía 3,MUC721A,['Cristian Duarte']
Análisis 1,Análisis 1,MUC723,['Tomas Koljatic']
Análisis 3,Análisis 3,MUC725,['Luciano Solovera']
Contrapunto Vocal 1,Contrapunto Vocal 1,MUC727,['Pablo Aranda']
Contrapunto Instrumental 1,Contrapunto Instrumental 1,MUC729,['Fernando Guede']
Composición 1,Composición 1,MUC731,['Juan Vergara']
Composición 3,Composición 3,MUC733,['Pablo Aranda']
Composición 5,Composición 5,MUC735,['Luciano Solovera']
Composición 7,Composición 7,MUC737,['Luciano Solovera']
Organología,Organología,MUC739,['Tomas Koljatic']
Introducción a la Música Electroacústica,Introducción a la Música Electroacústica,MUC740,['Antonio Carvallo']
Orquestación e Instrumentación 1,Orquestación e Instrumentación 1,MUC741,['Fernando Guede']
Introducción a la Musicología,Introducción a la Musicología,MUC743,['Alejandro Vera']
Modelos Musicológicos 1,Modelos Musicológicos 1,MUC745,['Malucha Subiabre']
Metodología Musicológica 1,Metodología Musicológica 1,MUC748,['Jose Izquierdo']
Metodología Musicológica 3,Metodología Musicológica 3,MUC750,['Jose Izquierdo']
Organología Chilena,Organología Chilena,MUC752,['Marcelo Fuentes']
Lectura de Partituras 1,Lectura de Partituras 1,MUC762,['Danilo Rodriguez']
Lectura de Partituras 3,Lectura de Partituras 3,MUC764,['Danilo Rodriguez']
Expresión Corporal,Expresión Corporal,MUC767,['Maria Henriquez']
Educación de la Voz 1,Educación de la Voz 1,MUC768A,['Doris Silva']
Educación de la Voz 3,Educación de la Voz 3,MUC770A,['Doris Silva']
Literatura Musical 1,Literatura Musical 1,MUC771,['Felipe Ramos']
Literatura Musical 3,Literatura Musical 3,MUC773,['Tomas Koljatic']
Música de Cámara 1,Música de Cámara 1,MUC775,['Liza Chung']
Música de Cámara 2,Música de Cámara 2,MUC776,['Liza Chung']
Música de Cámara 3,Música de Cámara 3,MUC777,['Liza Chung']
Música de Cámara 4,Música de Cámara 4,MUC778,['Liza Chung']
Música de Cámara 5,Música de Cámara 5,MUC779,['Liza Chung']
Música de Cámara 6,Música de Cámara 6,MUC780,['Liza Chung']
Canto 5,Canto 5,MUC785,['Claudia Pereira']
Taller de Ópera 1,Taller de Ópera 1,MUC789,['Patricio Sabate']
Taller de Ópera 3,Taller de Ópera 3,MUC791,['Patricio Sabate']
Guitarra 6,Guitarra 6,MUC798,['Luis Castro']
Guitarra 7,Guitarra 7,MUC799,['Luis Castro']
Tablatura,Tablatura,MUC801,['Eduardo Figueroa']
Instrumentos de Cuerdas 2,Instrumentos de Cuerdas 2,MUC803,['Jose Reyes']
Instrumentos de Cuerdas 5,Instrumentos de Cuerdas 5,MUC806,['Carlos Arenas']
Instrumentos de Cuerdas 6,Instrumentos de Cuerdas 6,MUC807,['Jose Reyes']
Instrumentos de Cuerdas 7,Instrumentos de Cuerdas 7,MUC808,['Tiffany Tieu']
Instrumentos de Cuerdas 8,Instrumentos de Cuerdas 8,MUC809,['Carlos Arenas']
"Repertorio Orquestal: Preparación para Concurso de Orquesta 1 Cuerdas Altas (Violín, Viola)","Repertorio Orquestal: Preparación para Concurso de Orquesta 1 Cuerdas Altas (Violín, Viola)",MUC810A,['Alberto Dourthe']
"Repertorio Orquestal:Preparación para Concurso de Orquesta 1 Cuerdas Bajas (Violoncello, Contrabajo)","Repertorio Orquestal:Preparación para Concurso de Orquesta 1 Cuerdas Bajas (Violoncello, Contrabajo)",MUC810B,['Carlos Arenas']
Repertorio Orquestal:Preparación para Curso de Orquesta 1- Maderas,Repertorio Orquestal:Preparación para Curso de Orquesta 1- Maderas,MUC810C,['Guillermo Lavado']
Repertorio Orquestal: Preparación para Concurso de Orquesta 1-Percusión,Repertorio Orquestal: Preparación para Concurso de Orquesta 1-Percusión,MUC810E,['Gerardo Salazar']
Instrumentos de Vientos 2,Instrumentos de Vientos 2,MUC813,['Eugenio Cáceres']
Instrumentos de Vientos 4,Instrumentos de Vientos 4,MUC815,['Hermes Quintanilla']
Instrumentos de Vientos 5,Instrumentos de Vientos 5,MUC816,['Alejandro Rivas']
Instrumentos de Vientos 7,Instrumentos de Vientos 7,MUC818,['David Medina']
Instrumentos de Vientos 8,Instrumentos de Vientos 8,MUC819,['Monzerrat Miranda']
Taller Bajo Continuo 1,Taller Bajo Continuo 1,MUC828,['Camilo Brandi']
Taller Bajo Continuo 3,Taller Bajo Continuo 3,MUC830,['Veronica Sierralta']
Taller Música Barroca 1,Taller Música Barroca 1,MUC834A,['Sergio Candia']
Taller Música Barroca 2,Taller Música Barroca 2,MUC835A,['Sergio Candia']
Taller Música Barroca 3,Taller Música Barroca 3,MUC836A,['Sergio Candia']
Taller Música Barroca 4,Taller Música Barroca 4,MUC837A,['Sergio Candia']
Piano 7,Piano 7,MUC854,['Liza Chung']
Nueva Música para Piano 1,Nueva Música para Piano 1,MUC856A,['Luis Latorre']
"Introducción a la Música, Ciencia y Tecnología","Introducción a la Música, Ciencia y Tecnología",MUC859,['Rodrigo Cadiz']
Teoría y Tratados Musicales del Renacimiento Barroco,Teoría y Tratados Musicales del Renacimiento Barroco,MUC867A,['Gina Allende']
Nueva Música para Flauta Traversa 1,Nueva Música para Flauta Traversa 1,MUC869A,['Adriana Fischer']
La Interpretación Musical: Proceso y Resultado,La Interpretación Musical: Proceso y Resultado,MUC872,['Florencia Bardavid;Antonio Carvallo']
Conciencia Corporal para Músicos,Conciencia Corporal para Músicos,MUC873,['Maria Henriquez']
Batería,Batería,MUC874A,['Gonzalo Muga']
Fonética Italiana,Fonética Italiana,MUC876,['Doris Silva']
Fonética Francesa,Fonética Francesa,MUC877,['Claudia Godoy']
Fisiología de la Voz,Fisiología de la Voz,MUC880,['Juan Painepan']
Introducción a la Audición Musical,Introducción a la Audición Musical,MUC884,['Gina Allende']
"Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Cuerdas Altas (Violín, Viola)","Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Cuerdas Altas (Violín, Viola)",MUC885A,['Alberto Dourthe']
"Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Cuerdas Bajas (Violoncello, Contrabajo","Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Cuerdas Bajas (Violoncello, Contrabajo",MUC885B,['Jose Reyes']
Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Maderas,Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Maderas,MUC885C,['Guillermo Lavado']
Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Percusión,Repertorio Orquestal: Preparación para Concurso de Orquesta 3 Percusión,MUC885E,['Gerardo Salazar']
Canción de Arte 1,Canción de Arte 1,MUC887A,['Rodrigo Del Pozo']
Entrenamiento Vocal para Músicos,Entrenamiento Vocal para Músicos,MUC889,['Doris Silva']
Violín 1,Violín 1,MUC901A,['Frida Ansaldi']
Viola 1,Viola 1,MUC901B,['Georgina Rossi']
Violonchelo 1,Violonchelo 1,MUC901C,['Dirección Docente']
Oboe 1,Oboe 1,MUC901F,['Jorge Pinzon']
Clarinete 1,Clarinete 1,MUC901G,['David Medina']
Fagot 1,Fagot 1,MUC901H,['Monzerrat Miranda']
Saxofón 1,Saxofón 1,MUC901I,['Alejandro Rivas']
Corno 1,Corno 1,MUC901L,['Eugenio Cáceres']
Piano 1,Piano 1,MUC901N,['Constanza Rosas']
Percusión 1,Percusión 1,MUC901P,['Cesar Vilca']
Canto 1,Canto 1,MUC901Q,['Rodrigo Del Pozo']
Viola Da Gamba 1,Viola Da Gamba 1,MUC901T,['Florencia Bardavid']
Canto 2,Canto 2,MUC902Q,['Rodrigo Del Pozo']
Dirección Coral 2,Dirección Coral 2,MUC902R,['Gerard Ramos']
Violín 3,Violín 3,MUC903A,['Frida Ansaldi']
Viola 3,Viola 3,MUC903B,['Georgina Rossi']
Violonchelo 3,Violonchelo 3,MUC903C,['Martin Osten']
Contrabajo 3,Contrabajo 3,MUC903D,['Jose Reyes']
Flauta Traversa 3,Flauta Traversa 3,MUC903E,['Adriana Fischer']
Clarinete 3,Clarinete 3,MUC903G,['David Medina']
Fagot 3,Fagot 3,MUC903H,['Monzerrat Miranda']
Trompeta 3,Trompeta 3,MUC903J,['Javier Contreras']
Trombón 3,Trombón 3,MUC903K,['Hector Montalvan']
Corno 3,Corno 3,MUC903L,['Eugenio Cáceres']
Tuba 3,Tuba 3,MUC903M,['Michael Parker']
Piano 3,Piano 3,MUC903N,['Liza Chung']
Percusión 3,Percusión 3,MUC903P,['Cesar Vilca']
Canto 3,Canto 3,MUC903Q,['Rodrigo Del Pozo']
Clavecín 3,Clavecín 3,MUC903V,['Camilo Brandi']
Guitarra 3,Guitarra 3,MUC903Z,['Luis Castro']
Viola 4,Viola 4,MUC904B,['Georgina Rossi']
Violonchelo 4,Violonchelo 4,MUC904C,['Martin Osten']
Contrabajo 4,Contrabajo 4,MUC904D,['Jose Reyes']
Flauta Traversa 4,Flauta Traversa 4,MUC904E,['Natalia Martorell']
Piano 4,Piano 4,MUC904N,['Liza Chung']
Canto 4,Canto 4,MUC904Q,['Claudia Pereira']
Dirección Coral 4,Dirección Coral 4,MUC904R,['Gerard Ramos']
Violín 5,Violín 5,MUC905A,['Gonzalo Beltran']
Viola 5,Viola 5,MUC905B,['Georgina Rossi']
Violonchelo 5,Violonchelo 5,MUC905C,['Martin Osten']
Contrabajo 5,Contrabajo 5,MUC905D,['Jose Reyes']
Clarinete 5,Clarinete 5,MUC905G,['David Medina']
Fagot 5,Fagot 5,MUC905H,['Monzerrat Miranda']
Trompeta 5,Trompeta 5,MUC905J,['Hermes Quintanilla']
Trombón 5,Trombón 5,MUC905K,['Hector Montalvan']
Corno 5,Corno 5,MUC905L,['Eugenio Cáceres']
Piano 5,Piano 5,MUC905N,['Liza Chung']
Percusión 5,Percusión 5,MUC905P,['Gerardo Salazar']
Canto 5,Canto 5,MUC905Q,['Patricio Sabate']
Guitarra 5,Guitarra 5,MUC905Z,['Luis Castro']
Clarinete 6,Clarinete 6,MUC906G,['David Medina']
Canto 6,Canto 6,MUC906Q,['Claudia Pereira']
Dirección Coral 6,Dirección Coral 6,MUC906R,['Gerard Ramos']
Guitarra 6,Guitarra 6,MUC906Z,['José Escobar']
Violín 7,Violín 7,MUC907A,['Frida Ansaldi']
Violonchelo 7,Violonchelo 7,MUC907C,['Martin Osten']
Contrabajo 7,Contrabajo 7,MUC907D,['Jose Reyes']
Oboe 7,Oboe 7,MUC907F,['Jorge Pinzon']
Fagot 7,Fagot 7,MUC907H,['Monzerrat Miranda']
Trompeta 7,Trompeta 7,MUC907J,['Javier Contreras']
Piano 7,Piano 7,MUC907N,['Enrique Alarcón']
Percusión 7,Percusión 7,MUC907P,['Cesar Vilca']
Canto 7,Canto 7,MUC907Q,['Claudia Pereira']
Viola Da Gamba 7,Viola Da Gamba 7,MUC907T,['Florencia Bardavid']
Laúd 7,Laúd 7,MUC907U,['Eduardo Figueroa']
Guitarra 7,Guitarra 7,MUC907Z,['Luis Orlandini']
Violín 8,Violín 8,MUC908A,['Tiffany Tieu']
Oboe 8,Oboe 8,MUC908F,['Jorge Pinzon']
Dirección Coral 8,Dirección Coral 8,MUC908R,['Gerard Ramos']
Viola Da Gamba 8,Viola Da Gamba 8,MUC908T,['Florencia Bardavid']
Guitarra 8,Guitarra 8,MUC908Z,['José Escobar']
Violín 9,Violín 9,MUC909A,['Frida Ansaldi']
Violonchelo 9,Violonchelo 9,MUC909C,['Martin Osten']
Contrabajo 9,Contrabajo 9,MUC909D,['Jose Reyes']
Flauta Traversa 9,Flauta Traversa 9,MUC909E,['Adriana Fischer']
Oboe 9,Oboe 9,MUC909F,['Jorge Pinzon']
Clarinete 9,Clarinete 9,MUC909G,['David Medina']
Saxofón 9,Saxofón 9,MUC909I,['Alejandro Rivas']
Piano 9,Piano 9,MUC909N,['Liza Chung']
Percusión 9,Percusión 9,MUC909P,['Cesar Vilca']
Canto 9,Canto 9,MUC909Q,['Rodrigo Del Pozo']
Viola Da Gamba 9,Viola Da Gamba 9,MUC909T,['Florencia Bardavid']
Guitarra 9,Guitarra 9,MUC909Z,['José Escobar']
Contrabajo 10,Contrabajo 10,MUC910D,['Jose Reyes']
Piano 10,Piano 10,MUC910N,['Enrique Alarcón']
Violín 11,Violín 11,MUC911A,['Gonzalo Beltran']
Piano 11,Piano 11,MUC911N,['Constanza Rosas']
Percusión 11,Percusión 11,MUC911P,['Cesar Vilca']
Canto 11,Canto 11,MUC911Q,['Patricio Sabate']
Dirección Coral 11,Dirección Coral 11,MUC911R,['Alejandro Reyes']
Clavecín 11,Clavecín 11,MUC911V,['Camilo Brandi']
Guitarra 11,Guitarra 11,MUC911Z,['Luis Orlandini']
Piano 12,Piano 12,MUC912N,['Liza Chung']
Práctica de Conjunto 1,Práctica de Conjunto 1,MUC913,['Luis Castro']
Práctica de Conjunto 2,Práctica de Conjunto 2,MUC914,['Sergio Candia']
Práctica de Conjunto 3,Práctica de Conjunto 3,MUC915,['Luis Castro']
Práctica de Conjunto 4,Práctica de Conjunto 4,MUC916,['Luis Castro']
Danzas Renacentistas,Danzas Renacentistas,MUC917,['Ana Vela']
Nueva Música para Guitarra 1,Nueva Música para Guitarra 1,MUC922,['Diego Castro']
Repertorio Pianístico 2,Repertorio Pianístico 2,MUC925,['Constanza Rosas']
Taller de Ópera 5,Taller de Ópera 5,MUC928,['Patricio Sabate']
Práctica Orquestal 1,Práctica Orquestal 1,MUC941,['Hector Montalvan;Georgina Rossi']
Práctica Orquestal 3,Práctica Orquestal 3,MUC943,['Hector Montalvan;Georgina Rossi']
Práctica Orquestal 5,Práctica Orquestal 5,MUC945,['Hector Montalvan;Georgina Rossi']
"Mujer, Música e Historia","Mujer, Música e Historia",MUC957,['Malucha Subiabre;Doris Silva']
La Música en Nuestro Tiempo,La Música en Nuestro Tiempo,MUC958,['Antonio Carvallo;Pablo Aranda']
La Experiencia de las Artes,La Experiencia de las Artes,MUC960,['Miryam Singer']
Música Sacra,Música Sacra,MUC961,['Felipe Ramos;Danilo Rodriguez']
Urologia Ia,Urologia Ia,MUR1000,['Javier Domínguez']
Urologia Iia,Urologia Iia,MUR1020,['Javier Domínguez']
Urología III a,Urología III a,MUR1040,['Javier Domínguez']
Pérdidas y Desperdicios de Alimentos,Pérdidas y Desperdicios de Alimentos,NUT1001,['Carolina Fredes;Maria Vega']
Nutrición y Deporte,Nutrición y Deporte,NUT1003,['Mauricio Rios']
Introducción a la Nutrición,Introducción a la Nutrición,NUT101A,['Alejandra Espinosa;Fernanda Chandia;Luisa Pérez;Diego Gonzalez;Gonzalo Aguilera']
Alimentos,Alimentos,NUT105A,['Carolina Fredes;Loreto Rojas']
Nutrición Básica I,Nutrición Básica I,NUT201,['Carolina Aguirre;Loreto Rojas;Giovanna Valentino;Graciela Arguello']
Ciencia de los Alimentos II,Ciencia de los Alimentos II,NUT202,['Wendy Franco;Loreto Rojas;Francisca Echeverria']
Fundamentos de la Nutrición Humana,Fundamentos de la Nutrición Humana,NUT207,['Loreto Rojas']
Seminario Bases Teóricas de la Nutrición Clínica I,Seminario Bases Teóricas de la Nutrición Clínica I,NUT3001,['Alejandra Parada']
Seminario Nutrición Basada en la Evidencia I,Seminario Nutrición Basada en la Evidencia I,NUT3002,['Alejandra Parada']
Rotación Clínica Terapia Nutricional,Rotación Clínica Terapia Nutricional,NUT3006,['Silvana Valdes']
Rotación Clínica Nutrición en Obesidad y Enfermedades Metabólicas,Rotación Clínica Nutrición en Obesidad y Enfermedades Metabólicas,NUT3007,['Mirelly Alamos']
Rotación Clínica Nutrición en Enfermedades Renales,Rotación Clínica Nutrición en Enfermedades Renales,NUT3008,['Clara Molina']
Rotación Clínica Nutrición en Enfermedades Gastroenterológicas,Rotación Clínica Nutrición en Enfermedades Gastroenterológicas,NUT3009,['Alejandra Parada']
Dietoterapia del Adulto I,Dietoterapia del Adulto I,NUT301,['Clara Molina;Silvana Valdes;Victoria Pinto;Mirelly Alamos']
Rotación Clínica Nutrición en Enfermedades Oncológicas,Rotación Clínica Nutrición en Enfermedades Oncológicas,NUT3010,['Constanza Figueroa']
Rotación Clínica Nutrición Electiva,Rotación Clínica Nutrición Electiva,NUT3011,['Alejandra Parada']
Alimentación de Ciclo Vital,Alimentación de Ciclo Vital,NUT302,['Graciela Arguello;Alejandra Espinosa;Fernanda Chandia']
Evaluación del Estado Nutricional II,Evaluación del Estado Nutricional II,NUT303,['Gonzalo Aguilera;Victoria Pinto;Giovanna Valentino;Alejandra Espinosa']
Dietoterapia Pediátrica,Dietoterapia Pediátrica,NUT401,['Victoria Pinto;Dannya Macía;Gonzalo Aguilera;Carla Leiva']
Educación en Alimentos,Educación en Alimentos,NUT402,['Ricardo Cerda;Natalia Gavilan;Angela Contreras']
Intervenciones Nutricionales,Intervenciones Nutricionales,NUT403,['Jose Moya;Natalia Gavilan;Dannya Macía']
Evaluación de la Investigación Aplicada,Evaluación de la Investigación Aplicada,NUT407,['Francisca Echeverria;Maria Vega;Carolina Fredes;Carolina Aguirre']
Internado: Clínico Adultos,Internado: Clínico Adultos,NUT501,['Constanza Figueroa']
Internado: Clínico Pediátrico,Internado: Clínico Pediátrico,NUT502,['Carla Leiva']
Internado de Actividad Física,Internado de Actividad Física,NUT503,['Mauricio Rios']
Internado Salud Pública,Internado Salud Pública,NUT504,['Daniela Salgado']
Internado Alimentación Colectiva,Internado Alimentación Colectiva,NUT505,['Paola San Martin']
Internado de Ciclo Vital (Pre-Escolar y Adulto Mayor),Internado de Ciclo Vital (Pre-Escolar y Adulto Mayor),NUT506,['Graciela Arguello']
Desarrollo Creativo y Destrezas Terapéuticas,Desarrollo Creativo y Destrezas Terapéuticas,OCU101A,['Bernardita Severin;Leonardo Estrada;Veronica Arrano;Rodrigo Cubillos']
Terapia Ocupacional: Profesión y Disciplina,Terapia Ocupacional: Profesión y Disciplina,OCU102A,['Nayadet-Noelia Lucero;Veronica Arrano;Camila Contreras;Leonardo Estrada;Cristopher Aceituno;Daniela Avello']
Habilidades y Técnicas Terapeuticas I,Habilidades y Técnicas Terapeuticas I,OCU301A,['Paola Cimino;Daniela Avello;Leonardo Estrada;Rodrigo Cubillos;Veronica Arrano']
Ergonomía y Salud Ocupacional,Ergonomía y Salud Ocupacional,OCU501A,['Marcela Cerna;Bernardita Severin;Rodrigo Cubillos;Nayadet-Noelia Lucero;Ricardo Banda;Paola Cimino']
Semiología y Anamnesis para Ciencias de la Salud,Semiología y Anamnesis para Ciencias de la Salud,OCU502A,['Cristopher Aceituno;Camila Contreras']
Introducción a la Odontología.,Introducción a la Odontología.,ODO103,['Maria Montenegro']
Bioestadística,Bioestadística,ODO104,['Ricardo Aravena']
Fundamentos Odontológicos Integrados III,Fundamentos Odontológicos Integrados III,ODO201B,['Javier Toledo']
Patología Morfológica y Funcional,Patología Morfológica y Funcional,ODO300A,['Roger Gejman']
Fundamentos Odontológicos Integrados V,Fundamentos Odontológicos Integrados V,ODO301A,['Sonia Wagner']
Bases Biológicas de la Ortodoncia,Bases Biológicas de la Ortodoncia,ODO3021,['Humberto Gonzalez']
Introducción a la Ortodoncia,Introducción a la Ortodoncia,ODO3040,['Mariana Ramirez']
Clínica Ortodoncia Integrada I,Clínica Ortodoncia Integrada I,ODO3041,['Maricel Bravo']
Clínica Ortodoncia Integrada III,Clínica Ortodoncia Integrada III,ODO3045,['Humberto Gonzalez']
Procesos para el Ejercicio Clínico Odontológico,Procesos para el Ejercicio Clínico Odontológico,ODO305A,['Yasna Moreno']
Cirugía Maxilofacial Ia,Cirugía Maxilofacial Ia,ODO3100,['Salvador Valladares;Camila Foncea']
Cirugía Maxilofacial Ib,Cirugía Maxilofacial Ib,ODO3101,['Salvador Valladares;Camila Foncea']
Cirugía Maxilofacial Iia,Cirugía Maxilofacial Iia,ODO3102,['Salvador Valladares;Camila Foncea']
Cirugía Maxilofacial Iib,Cirugía Maxilofacial Iib,ODO3103,['Salvador Valladares;Camila Foncea;Hernan Ramirez']
Cirugía Maxilofacial Iiia,Cirugía Maxilofacial Iiia,ODO3104,['Hernan Ramirez']
Cirugía Maxilofacial Iiib,Cirugía Maxilofacial Iiib,ODO3105,['Salvador Valladares;Camila Foncea']
Cirugía Maxilofacial IV a,Cirugía Maxilofacial IV a,ODO3106,['Salvador Valladares;Camila Foncea']
Cirugía Maxilofacial IV B,Cirugía Maxilofacial IV B,ODO3107,['Salvador Valladares;Camila Foncea']
Clínica Periodontal III,Clínica Periodontal III,ODO3204,['Natacha Oyarzo']
Cirugía Periodontal e Implantológica,Cirugía Periodontal e Implantológica,ODO3215,['Paulina Barrientos']
